eva_token,operatorcode,class,weight,notes,status,count_f7r,count_f7v,count_f8r,count_f8v,count_total
eva,CANDIDATE_UNKNOWN,unclassified,1.0,Auto-mapped from f5–f6 candidates (count=227). Needs review,NOISE,424,485,789,591,2289
A,CANDIDATE_UNKNOWN,unclassified,1.0,Auto-mapped from f5–f6 candidates (count=96). Needs review,NOISE,424,485,789,591,2289
C,CANDIDATE_UNKNOWN,unclassified,1.0,Auto-mapped from f5–f6 candidates (count=96). Needs review,NOISE,424,485,789,591,2289
F,CANDIDATE_UNKNOWN,unclassified,1.0,Auto-mapped from f5–f6 candidates (count=96). Needs review,NOISE,424,485,789,591,2289
H,CANDIDATE_UNKNOWN,unclassified,1.0,Auto-mapped from f5–f6 candidates (count=96). Needs review,NOISE,424,485,789,591,2289
Y,CANDIDATE_SEAL_MARK,seal/closure,1.0,Auto-mapped from f5–f6 candidates (count=96). Line endings or closure markers,NOISE,94,141,152,98,485
s,CANDIDATE_UNKNOWN,unclassified,1.0,Auto-mapped from f5–f6 candidates (count=88). Needs review,CANDIDATE,424,485,789,591,2289
chol,CANDIDATE_WASH_CIRCULATE,wash/circulate,1.0,Auto-mapped from f5–f6 candidates (count=56). Washing or circulation cycle,CONFIRMED,32,26,54,84,196
U,CANDIDATE_UNKNOWN,unclassified,1.0,Auto-mapped from f5–f6 candidates (count=54). Needs review,NOISE,424,485,789,591,2289
Line,CANDIDATE_UNKNOWN,unclassified,1.0,Auto-mapped from f5–f6 candidates (count=48). Needs review,NOISE,424,485,789,591,2289
Type,CANDIDATE_UNKNOWN,unclassified,1.0,Auto-mapped from f5–f6 candidates (count=48). Needs review,NOISE,424,485,789,591,2289
Trans,CANDIDATE_UNKNOWN,unclassified,1.0,Auto-mapped from f5–f6 candidates (count=48). Needs review,NOISE,424,485,789,591,2289
Enc,CANDIDATE_UNKNOWN,unclassified,1.0,Auto-mapped from f5–f6 candidates (count=48). Needs review,NOISE,424,485,789,591,2289
Content,CANDIDATE_UNKNOWN,unclassified,1.0,Auto-mapped from f5–f6 candidates (count=48). Needs review,NOISE,424,485,789,591,2289
v101,CANDIDATE_UNKNOWN,unclassified,1.0,Auto-mapped from f5–f6 candidates (count=48). Needs review,NOISE,424,485,789,591,2289
1,CANDIDATE_UNKNOWN,unclassified,1.0,Auto-mapped from f5–f6 candidates (count=46). Needs review,NOISE,424,485,789,591,2289
@P0,CANDIDATE_UNKNOWN,unclassified,1.0,Auto-mapped from f5–f6 candidates (count=46). Needs review,NOISE,424,485,789,591,2289
4,CANDIDATE_UNKNOWN,unclassified,1.0,Auto-mapped from f5–f6 candidates (count=46). Needs review,NOISE,424,485,789,591,2289
2,CANDIDATE_UNKNOWN,unclassified,1.0,Auto-mapped from f5–f6 candidates (count=44). Needs review,NOISE,424,485,789,591,2289
3,CANDIDATE_UNKNOWN,unclassified,1.0,Auto-mapped from f5–f6 candidates (count=44). Needs review,NOISE,424,485,789,591,2289
5,CANDIDATE_UNKNOWN,unclassified,1.0,Auto-mapped from f5–f6 candidates (count=44). Needs review,NOISE,424,485,789,591,2289
6,CANDIDATE_UNKNOWN,unclassified,1.0,Auto-mapped from f5–f6 candidates (count=44). Needs review,NOISE,424,485,789,591,2289
chy,CANDIDATE_SEAL_MARK,seal/closure,1.0,Auto-mapped from f5–f6 candidates (count=38). Line endings or closure markers,CANDIDATE,94,141,152,98,485
cthy,CANDIDATE_SEAL_MARK,seal/closure,1.0,Auto-mapped from f5–f6 candidates (count=34). Line endings or closure markers,CONFIRMED,94,141,152,98,485
7,CANDIDATE_UNKNOWN,unclassified,1.0,Auto-mapped from f5–f6 candidates (count=32). Needs review,NOISE,424,485,789,591,2289
cthor,CANDIDATE_SPIRIT_MERCURY,mercury/spirit,1.0,Auto-mapped from f5–f6 candidates (count=30). Mercury/spirit operator,CANDIDATE,0,0,6,10,16
cthy<-><plant>,CANDIDATE_UNKNOWN,unclassified,1.0,Auto-mapped from f5–f6 candidates (count=30). Needs review,CANDIDATE,424,485,789,591,2289
otol,CANDIDATE_DIVIDE_PORTION,division/portion,1.0,Auto-mapped from f5–f6 candidates (count=27). Splitting or measuring portion,CONFIRMED,8,10,15,0,33
or,CANDIDATE_UNKNOWN,unclassified,1.0,Auto-mapped from f5–f6 candidates (count=27). Needs review,CANDIDATE,424,485,789,591,2289
dy,CANDIDATE_SEAL_MARK,seal/closure,1.0,Auto-mapped from f5–f6 candidates (count=26). Line endings or closure markers,CANDIDATE,94,141,152,98,485
sho,CANDIDATE_UNKNOWN,unclassified,1.0,Auto-mapped from f5–f6 candidates (count=24). Needs review,CANDIDATE,424,485,789,591,2289
9,CANDIDATE_UNKNOWN,unclassified,1.0,Auto-mapped from f5–f6 candidates (count=24). Needs review,NOISE,424,485,789,591,2289
8,CANDIDATE_UNKNOWN,unclassified,1.0,Auto-mapped from f5–f6 candidates (count=24). Needs review,NOISE,424,485,789,591,2289
11,CANDIDATE_UNKNOWN,unclassified,1.0,Auto-mapped from f5–f6 candidates (count=24). Needs review,NOISE,424,485,789,591,2289
cthom,CANDIDATE_UNKNOWN,unclassified,1.0,Auto-mapped from f5–f6 candidates (count=24). Needs review,CONFIRMED,424,485,789,591,2289
13,CANDIDATE_UNKNOWN,unclassified,1.0,Auto-mapped from f5–f6 candidates (count=24). Needs review,NOISE,424,485,789,591,2289
14,CANDIDATE_UNKNOWN,unclassified,1.0,Auto-mapped from f5–f6 candidates (count=24). Needs review,NOISE,424,485,789,591,2289
char,CANDIDATE_UNKNOWN,unclassified,1.0,Auto-mapped from f5–f6 candidates (count=22). Needs review,CANDIDATE,424,485,789,591,2289
chey,CANDIDATE_SEAL_MARK,seal/closure,1.0,Auto-mapped from f7–f8 candidates (count=24). Line-ending closure or cadence mark,CANDIDATE,94,141,152,98,485
chaiin,CANDIDATE_COUNT_REPEAT,count/repetition,1.0,Auto-mapped from f7–f8 candidates (count=24). Repetition or counting operator,CANDIDATE,32,42,52,52,178
kchor,CANDIDATE_WASH_CIRCULATE,wash/circulate,1.0,"Auto-mapped from f7–f8 candidates (count=20). Washing, circulation, solve in water",CANDIDATE,32,26,54,84,196
kaiin,CANDIDATE_COUNT_REPEAT,count/repetition,1.0,Auto-mapped from f7–f8 candidates (count=20). Repetition or counting operator,CANDIDATE,32,42,52,52,178
kchey,CANDIDATE_SEAL_MARK,seal/closure,1.0,Auto-mapped from f7–f8 candidates (count=18). Line-ending closure or cadence mark,CANDIDATE,94,141,152,98,485
qotchy,CANDIDATE_SEAL_MARK,seal/closure,1.0,Auto-mapped from f7–f8 candidates (count=18). Line-ending closure or cadence mark,CANDIDATE,94,141,152,98,485
chochy,CANDIDATE_SEAL_MARK,seal/closure,1.0,Auto-mapped from f7–f8 candidates (count=18). Line-ending closure or cadence mark,CANDIDATE,94,141,152,98,485
cheodaiin,CANDIDATE_COUNT_REPEAT,count/repetition,1.0,Auto-mapped from f7–f8 candidates (count=16). Repetition or counting operator,CANDIDATE,32,42,52,52,178
okchey,CANDIDATE_SEAL_MARK,seal/closure,1.0,Auto-mapped from f7–f8 candidates (count=16). Line-ending closure or cadence mark,CANDIDATE,94,141,152,98,485
daiin<$>,CANDIDATE_COUNT_REPEAT,count/repetition,1.0,Auto-mapped from f7–f8 candidates (count=16). Repetition or counting operator,CANDIDATE,32,42,52,52,178
cthey,CANDIDATE_SEAL_MARK,seal/closure,1.0,Auto-mapped from f7–f8 candidates (count=14). Line-ending closure or cadence mark,CANDIDATE,94,141,152,98,485
odaiin,CANDIDATE_COUNT_REPEAT,count/repetition,1.0,Auto-mapped from f7–f8 candidates (count=12). Repetition or counting operator,CANDIDATE,32,42,52,52,178
qokchy,CANDIDATE_SEAL_MARK,seal/closure,1.0,Auto-mapped from f7–f8 candidates (count=12). Line-ending closure or cadence mark,CANDIDATE,94,141,152,98,485
otshol,CANDIDATE_WASH_CIRCULATE,wash/circulate,1.0,"Auto-mapped from f7–f8 candidates (count=12). Washing, circulation, solve in water",CANDIDATE,32,26,54,84,196
dchy,CANDIDATE_SEAL_MARK,seal/closure,1.0,Auto-mapped from f7–f8 candidates (count=12). Line-ending closure or cadence mark,CANDIDATE,94,141,152,98,485
qoky,CANDIDATE_SEAL_MARK,seal/closure,1.0,Auto-mapped from f7–f8 candidates (count=11). Line-ending closure or cadence mark,CANDIDATE,94,141,152,98,485
chotchy,CANDIDATE_SEAL_MARK,seal/closure,1.0,Auto-mapped from f7–f8 candidates (count=10). Line-ending closure or cadence mark,CANDIDATE,94,141,152,98,485
qopchy,CANDIDATE_SEAL_MARK,seal/closure,1.0,Auto-mapped from f7–f8 candidates (count=10). Line-ending closure or cadence mark,CANDIDATE,94,141,152,98,485
cthd,CANDIDATE_UNKNOWN,unclassified,1.0,Auto-mapped from f7–f8 candidates (count=10). Needs manual review,CANDIDATE,424,485,789,591,2289
choschy,CANDIDATE_SEAL_MARK,seal/closure,1.0,Auto-mapped from f7–f8 candidates (count=10). Line-ending closure or cadence mark,CANDIDATE,94,141,152,98,485
qoteeeo,CANDIDATE_DIVIDE_PORTION,division/portion,1.0,Auto-mapped from f7–f8 candidates (count=10). Splitting or portioning operator,CANDIDATE,8,10,15,0,33
qotchey,CANDIDATE_SEAL_MARK,seal/closure,1.0,Auto-mapped from f7–f8 candidates (count=10). Line-ending closure or cadence mark,CANDIDATE,94,141,152,98,485
cthaiin,CANDIDATE_COUNT_REPEAT,count/repetition,1.0,Auto-mapped from f7–f8 candidates (count=10). Repetition or counting operator,CANDIDATE,32,42,52,52,178
pchy,CANDIDATE_SEAL_MARK,seal/closure,1.0,Auto-mapped from f7–f8 candidates (count=10). Line-ending closure or cadence mark,CANDIDATE,94,141,152,98,485
cpharom,CANDIDATE_FIRE_HEAT,fire/heat,1.0,Auto-mapped from f7–f8 candidates (count=10). Heating/fire operator,CANDIDATE,0,0,8,10,18
otorchy,CANDIDATE_SEAL_MARK,seal/closure,1.0,Auto-mapped from f7–f8 candidates (count=10). Line-ending closure or cadence mark,CANDIDATE,94,141,152,98,485
tchy,CANDIDATE_SEAL_MARK,seal/closure,1.0,Auto-mapped from f7–f8 candidates (count=10). Line-ending closure or cadence mark,CANDIDATE,94,141,152,98,485
dchor,CANDIDATE_WASH_CIRCULATE,wash/circulate,1.0,"Auto-mapped from f7–f8 candidates (count=10). Washing, circulation, solve in water",CANDIDATE,32,26,54,84,196
raiin,CANDIDATE_COUNT_REPEAT,count/repetition,1.0,Auto-mapped from f7–f8 candidates (count=10). Repetition or counting operator,CANDIDATE,32,42,52,52,178
fchodaiin,CANDIDATE_COUNT_REPEAT,count/repetition,1.0,Auto-mapped from f7–f8 candidates (count=8). Repetition or counting operator,CANDIDATE,32,42,52,52,178
otchy,CANDIDATE_SEAL_MARK,seal/closure,1.0,Auto-mapped from f7–f8 candidates (count=8). Line-ending closure or cadence mark,CANDIDATE,94,141,152,98,485
qokcho,CANDIDATE_DIVIDE_PORTION,division/portion,1.0,Auto-mapped from f7–f8 candidates (count=8). Splitting or portioning operator,CANDIDATE,8,10,15,0,33
lochey,CANDIDATE_SEAL_MARK,seal/closure,1.0,Auto-mapped from f7–f8 candidates (count=8). Line-ending closure or cadence mark,CANDIDATE,94,141,152,98,485
qotoees,CANDIDATE_DIVIDE_PORTION,division/portion,1.0,Auto-mapped from f7–f8 candidates (count=8). Splitting or portioning operator,CANDIDATE,8,10,15,0,33
choaiin,CANDIDATE_COUNT_REPEAT,count/repetition,1.0,Auto-mapped from f7–f8 candidates (count=8). Repetition or counting operator,CANDIDATE,32,42,52,52,178
otchol,CANDIDATE_WASH_CIRCULATE,wash/circulate,1.0,"Auto-mapped from f7–f8 candidates (count=8). Washing, circulation, solve in water",CANDIDATE,32,26,54,84,196
qokechy,CANDIDATE_SEAL_MARK,seal/closure,1.0,Auto-mapped from f7–f8 candidates (count=8). Line-ending closure or cadence mark,CANDIDATE,94,141,152,98,485
dykchy,CANDIDATE_SEAL_MARK,seal/closure,1.0,Auto-mapped from f7–f8 candidates (count=8). Line-ending closure or cadence mark,CANDIDATE,94,141,152,98,485
dchodaiin,CANDIDATE_COUNT_REPEAT,count/repetition,1.0,Auto-mapped from f7–f8 candidates (count=8). Repetition or counting operator,CANDIDATE,32,42,52,52,178
sheodaiin,CANDIDATE_COUNT_REPEAT,count/repetition,1.0,Auto-mapped from f7–f8 candidates (count=8). Repetition or counting operator,CANDIDATE,32,42,52,52,178
chokchy,CANDIDATE_SEAL_MARK,seal/closure,1.0,Auto-mapped from f7–f8 candidates (count=8). Line-ending closure or cadence mark,CANDIDATE,94,141,152,98,485
pshol,CANDIDATE_WASH_CIRCULATE,wash/circulate,1.0,"Auto-mapped from f7–f8 candidates (count=8). Washing, circulation, solve in water",CANDIDATE,32,26,54,84,196
cfhodar,CANDIDATE_UNKNOWN,unclassified,1.0,Auto-mapped from f7–f8 candidates (count=8). Needs manual review,CANDIDATE,424,485,789,591,2289
shokchy,CANDIDATE_SEAL_MARK,seal/closure,1.0,Auto-mapped from f7–f8 candidates (count=8). Line-ending closure or cadence mark,CANDIDATE,94,141,152,98,485
qotor,CANDIDATE_DIVIDE_PORTION,division/portion,1.0,Auto-mapped from f7–f8 candidates (count=8). Splitting or portioning operator,CANDIDATE,8,10,15,0,33
cholal,CANDIDATE_WASH_CIRCULATE,wash/circulate,1.0,"Auto-mapped from f7–f8 candidates (count=8). Washing, circulation, solve in water",CANDIDATE,32,26,54,84,196
dchey,CANDIDATE_SEAL_MARK,seal/closure,1.0,Auto-mapped from f7–f8 candidates (count=8). Line-ending closure or cadence mark,CANDIDATE,94,141,152,98,485
ychey,CANDIDATE_SEAL_MARK,seal/closure,1.0,Auto-mapped from f7–f8 candidates (count=8). Line-ending closure or cadence mark,CANDIDATE,94,141,152,98,485
cphol,CANDIDATE_FIRE_HEAT,fire/heat,1.0,Auto-mapped from f7–f8 candidates (count=8). Heating/fire operator,CANDIDATE,0,0,8,10,18
schol,CANDIDATE_WASH_CIRCULATE,wash/circulate,1.0,"Auto-mapped from f7–f8 candidates (count=8). Washing, circulation, solve in water",CANDIDATE,32,26,54,84,196
cthan<-><plant>ytchy,CANDIDATE_SEAL_MARK,seal/closure,1.0,Auto-mapped from f7–f8 candidates (count=8). Line-ending closure or cadence mark,CANDIDATE,94,141,152,98,485
kchol<-><plant>dar,CANDIDATE_WASH_CIRCULATE,wash/circulate,1.0,"Auto-mapped from f7–f8 candidates (count=8). Washing, circulation, solve in water",CANDIDATE,32,26,54,84,196
orchl<-><plant>chokchy,CANDIDATE_SEAL_MARK,seal/closure,1.0,Auto-mapped from f7–f8 candidates (count=8). Line-ending closure or cadence mark,CANDIDATE,94,141,152,98,485
scharchy<-><plant>oeesody,CANDIDATE_SEAL_MARK,seal/closure,1.0,Auto-mapped from f7–f8 candidates (count=8). Line-ending closure or cadence mark,CANDIDATE,94,141,152,98,485
daiin<$><plant>,CANDIDATE_COUNT_REPEAT,count/repetition,1.0,Auto-mapped from f7–f8 candidates (count=8). Repetition or counting operator,CANDIDATE,32,42,52,52,178
qokar,CANDIDATE_DIVIDE_PORTION,division/portion,1.0,Auto-mapped from f7–f8 candidates (count=7). Splitting or portioning operator,CANDIDATE,8,10,15,0,33
shopchey,CANDIDATE_SEAL_MARK,seal/closure,1.0,Auto-mapped from f7–f8 candidates (count=6). Line-ending closure or cadence mark,CANDIDATE,94,141,152,98,485
dold<-><plant>dchey,CANDIDATE_SEAL_MARK,seal/closure,1.0,Auto-mapped from f7–f8 candidates (count=6). Line-ending closure or cadence mark,CANDIDATE,94,141,152,98,485
daiin<-><plant>ychey,CANDIDATE_SEAL_MARK,seal/closure,1.0,Auto-mapped from f7–f8 candidates (count=6). Line-ending closure or cadence mark,CANDIDATE,94,141,152,98,485
kchos<-><plant>odaiin,CANDIDATE_COUNT_REPEAT,count/repetition,1.0,Auto-mapped from f7–f8 candidates (count=6). Repetition or counting operator,CANDIDATE,32,42,52,52,178
chkoldy<-><plant>otchor,CANDIDATE_WASH_CIRCULATE,wash/circulate,1.0,"Auto-mapped from f7–f8 candidates (count=6). Washing, circulation, solve in water",CANDIDATE,32,26,54,84,196
<->shol,CANDIDATE_WASH_CIRCULATE,wash/circulate,1.0,"Auto-mapped from f7–f8 candidates (count=6). Washing, circulation, solve in water",CANDIDATE,32,26,54,84,196
cphey<-><plant>shckhy,CANDIDATE_SEAL_MARK,seal/closure,1.0,Auto-mapped from f7–f8 candidates (count=6). Line-ending closure or cadence mark,CANDIDATE,94,141,152,98,485
shodaiin,CANDIDATE_COUNT_REPEAT,count/repetition,1.0,Auto-mapped from f7–f8 candidates (count=6). Repetition or counting operator,CANDIDATE,32,42,52,52,178
tey<-><plant>okchor,CANDIDATE_WASH_CIRCULATE,wash/circulate,1.0,"Auto-mapped from f7–f8 candidates (count=6). Washing, circulation, solve in water",CANDIDATE,32,26,54,84,196
sheey<-><plant>dchol,CANDIDATE_WASH_CIRCULATE,wash/circulate,1.0,"Auto-mapped from f7–f8 candidates (count=6). Washing, circulation, solve in water",CANDIDATE,32,26,54,84,196
taiin,CANDIDATE_COUNT_REPEAT,count/repetition,1.0,Auto-mapped from f7–f8 candidates (count=6). Repetition or counting operator,CANDIDATE,32,42,52,52,178
pchey<-><plant>ofchey,CANDIDATE_SEAL_MARK,seal/closure,1.0,Auto-mapped from f7–f8 candidates (count=6). Line-ending closure or cadence mark,CANDIDATE,94,141,152,98,485
dy<-><plant>cheocthy,CANDIDATE_SEAL_MARK,seal/closure,1.0,Auto-mapped from f7–f8 candidates (count=6). Line-ending closure or cadence mark,CANDIDATE,94,141,152,98,485
qochodaiin,CANDIDATE_COUNT_REPEAT,count/repetition,1.0,Auto-mapped from f7–f8 candidates (count=6). Repetition or counting operator,CANDIDATE,32,42,52,52,178
kchokchy,CANDIDATE_SEAL_MARK,seal/closure,1.0,Auto-mapped from f7–f8 candidates (count=6). Line-ending closure or cadence mark,CANDIDATE,94,141,152,98,485
cthaichar,CANDIDATE_SPIRIT_MERCURY,mercury/spirit,1.0,Auto-mapped from f7–f8 candidates (count=6). Mercury/spirit ligature,CANDIDATE,0,0,6,10,16
dar<-><plant>shol,CANDIDATE_WASH_CIRCULATE,wash/circulate,1.0,"Auto-mapped from f7–f8 candidates (count=6). Washing, circulation, solve in water",CANDIDATE,32,26,54,84,196
okchol,CANDIDATE_WASH_CIRCULATE,wash/circulate,1.0,"Auto-mapped from f7–f8 candidates (count=6). Washing, circulation, solve in water",CANDIDATE,32,26,54,84,196
ksh<-><plant>chol,CANDIDATE_WASH_CIRCULATE,wash/circulate,1.0,"Auto-mapped from f7–f8 candidates (count=6). Washing, circulation, solve in water",CANDIDATE,32,26,54,84,196
lokaiin<-><plant>shol,CANDIDATE_COUNT_REPEAT,count/repetition,1.0,Auto-mapped from f7–f8 candidates (count=6). Repetition or counting operator,CANDIDATE,32,42,52,52,178
cheor,SPIRIT_MERCURY,mercury/spirit,1.0,Promoted in v12 from folio frequency (f3v–f5v).,CONFIRMED,20,22,16,12,70
chey,SPIRIT_MERCURY,mercury/spirit,1.0,Promoted in v12 from folio frequency (f3v–f5v).,CONFIRMED,20,22,16,12,70
cheory,SPIRIT_MERCURY,mercury/spirit,1.0,Promoted in v12 from folio frequency (f3v–f5v).,CONFIRMED,20,22,16,12,70
